pair_key,cv_id,cv_level,cv_category,job_id,job_title,job_category,rank,high_dims,cohere_relevance,gptoss_relevance,llama_relevance,final_relevance,cohere_skills,gptoss_skills,llama_skills,final_skills,cohere_experience,gptoss_experience,llama_experience,final_experience,cohere_education,gptoss_education,llama_education,final_education,job_experience,job_education_level,cv_experience_years,cv_education_level,cv_education_field,cv_technical_skills,job_requirements_tags,job_technical_skills
bds_L1_0feeda23a58657fb3da9dd93842f8249_3,bds_L1,L1,Bất động sản,0feeda23a58657fb3da9dd93842f8249,"Sales/Telesales -B2C (Mảng Bất Động Sản, Bảo Hiểm)",Bất động sản,3,skills_match;experience_match,5,7,5,7,3,8,6,8,10,4,10,10,7,10,7,7,Dưới 1 năm,Cao đẳng,0,Đại học,Kinh tế,Sales bất động sản; B2C,Sales bất động sản/Môi giới bất động sản; B2C; Online Sales,Sales bất động sản/Môi giới bất động sản; Online Sales
bds_L1_649e49a7851237ec04913b846e2760dd_15,bds_L1,L1,Bất động sản,649e49a7851237ec04913b846e2760dd,"Nhân Viên Kinh Doanh Bất Động Sản - Lương Cứng Tới 15 Triệu, Data Có Sẵn – Gia Lâm , Hai Bà Trưng- Hà Nội",Bất động sản,15,skills_match,5,9,6,7,4,9,5,7,10,10,10,10,7,8,7,7,Không yêu cầu,Trung học,0,Đại học,Kinh tế,Sales bất động sản; B2C,Sales bất động sản/Môi giới bất động sản; B2C,Sales bất động sản/Môi giới bất động sản; B2C
bds_L1_6f45f047db1ac4041f38e7f48d5764e4_13,bds_L1,L1,Bất động sản,6f45f047db1ac4041f38e7f48d5764e4,Sales Admin Bất Động Sản,Bất động sản,13,experience_match,5,6,5,6,3,5,6,5,9,7,0,9,7,9,8,8,1 năm,Cao đẳng,0,Đại học,Kinh tế,Sales bất động sản; B2C,Sales Admin/Sales Support/Sales Associate; Bất động sản; B2B,Sales Admin; Sales Support; Sales Associate; Bất động sản
bds_L1_e43ade755d9156bda5212d5e23303442_11,bds_L1,L1,Bất động sản,e43ade755d9156bda5212d5e23303442,Nhân Viên Kinh Doanh/Sales Bất Động Sản/ Nhân Viên Tư Vấn BĐS - Thu Nhập Trên 50 Triệu (Tự Do Thời Gian) - Nguồn Nhà/Nguồn Khách Có Sẵn,Bất động sản,11,skills_match,5,8,6,7,3,8,5,7,10,10,10,10,7,8,7,7,Không yêu cầu,Trung học,0,Đại học,Kinh tế,Sales bất động sản; B2C,Sales bất động sản/Môi giới bất động sản; Bất động sản; B2B; B2C; Direct Sales,Sales bất động sản/Môi giới bất động sản; Bất động sản; B2B; B2C; Direct Sales
bds_L2_24470b97617841c1f85862f4c04ce539_13,bds_L2,L2,Bất động sản,24470b97617841c1f85862f4c04ce539,Trưởng Phòng Kinh Doanh Bất Động Sản,Bất động sản,13,experience_match,5,5,6,6,6,4,7,6,9,10,5,9,7,8,8,8,1 năm,Cao đẳng,1,Đại học,Kinh tế,Sales bất động sản; B2C; Direct Sales,Sales Director/Giám đốc kinh doanh; Bất động sản; B2B; Direct Sales; Online Sales; Telesales,Sales Director/Giám đốc kinh doanh; Bất động sản; B2B; Direct Sales; Online Sales; Telesales
bds_L2b_6bfd53767bb4463720b123ebc03a27c2_4,bds_L2b,L2b,Bất động sản,6bfd53767bb4463720b123ebc03a27c2,Admin Dự Án (Căn Hộ Dịch Vụ),Bất động sản,4,experience_match,7,7,5,7,7,8,6,7,9,6,3,8,7,8,7,7,Dưới 1 năm,Cao đẳng,2,Đại học,Kinh tế,Sales B2B; Telesales; Direct Sales; Quản lý dự án bất động sản,Quản lý dự án bất động sản; Bất động sản,Quản lý dự án bất động sản
bds_L2b_70615d0a6923e30854ea35dba94c7202_8,bds_L2b,L2b,Bất động sản,70615d0a6923e30854ea35dba94c7202,Chuyên Viên Đầu Tư Phát Triển Dự Án,Bất động sản,8,skills_match,5,4,6,5,5,2,7,5,3,4,4,4,7,10,10,10,5 năm,Đại học,2,Đại học,Kinh tế,Sales B2B; Telesales; Direct Sales; Quản lý dự án bất động sản,Quản lý dự án bất động sản; Bất động sản; Xây dựng,Microsoft Office; PowerPoint; Word; Excel; Phần mềm dự toán; AutoCAD
bds_L3_6bfd53767bb4463720b123ebc03a27c2_5,bds_L3,L3,Bất động sản,6bfd53767bb4463720b123ebc03a27c2,Admin Dự Án (Căn Hộ Dịch Vụ),Bất động sản,5,experience_match,7,7,6,7,7,8,7,7,9,4,3,5,7,8,8,8,Dưới 1 năm,Cao đẳng,3,Đại học,Kinh tế,Sales bất động sản; B2C; Direct Sales; Quản lý dự án bất động sản,Quản lý dự án bất động sản; Bất động sản,Quản lý dự án bất động sản
bds_L3b_4ccda888dc185e53c6595de192044610_5,bds_L3b,L3b,Bất động sản,4ccda888dc185e53c6595de192044610,Chuyên Viên Thủ Tục Ngành Bất Động Sản,Bất động sản,5,experience_match,6,6,6,6,5,5,5,5,7,8,3,6,7,9,7,7,1 năm,Cao đẳng,4,Đại học,Kinh tế,Quản lý dự án bất động sản; Giám đốc dự án bất động sản; Sales B2B; Telesales; Direct Sales; Quản lý vận hành bất động sản khác,Sales Bất động sản khác; Bất động sản; B2B,Excel; AutoCAD; Python; SAP
bds_L3b_6bfd53767bb4463720b123ebc03a27c2_3,bds_L3b,L3b,Bất động sản,6bfd53767bb4463720b123ebc03a27c2,Admin Dự Án (Căn Hộ Dịch Vụ),Bất động sản,3,skills_match;experience_match,7,6,3,7,7,9,4,9,9,5,2,5,7,8,6,7,Dưới 1 năm,Cao đẳng,4,Đại học,Kinh tế,Quản lý dự án bất động sản; Giám đốc dự án bất động sản; Sales B2B; Telesales; Direct Sales; Quản lý vận hành bất động sản khác,Quản lý dự án bất động sản; Bất động sản,Quản lý dự án bất động sản
