title,url,company,company_address,crawled_date,category,content_hash,deadline,is_expired,job_salary,salary_min,salary_max,salary_type,salary_note,has_commission,job_location,education_level,education_field,technical_skills,soft_skills,languages,certificates,gender_requirement,experience,requirements_tags,specializations,job_description,job_requirements,job_benefits,working_time,category_key
CAD/CAM Engineer / Kỹ Sư Lập Trình - Làm Việc Tại VSIP 1,https://www.topcv.vn/viec-lam/cad-cam-engineer-ky-su-lap-trinh-lam-viec-tai-vsip-1/2176614.html?ta_source=JobSearchList_LinkDetail&u_sr_id=fgP7ThR6dP7YgvExMLgtJUSsW04DMh4tDP7NOu2T_1780325530,CÔNG TY TNHH THERM-X SYSTEM VIỆT NAM TECHNOLOGY,"Lô 39, đường số 6, KCN Việt Nam – Singapore, Phường An Phú, Thành phố Thuận An, Tỉnh Bình Dương, Việt Nam",2026-06-01 21:52:41,IT,26afafd7fc47e96b8cf47c4b8a24037f,25/06/2026,False,Thoả thuận,,,negotiable,,False,Bình Dương,Đại học,,"Mastercam, Inventor",,,,Không yêu cầu,Dưới 1 năm,Kỹ sư cơ khí,"Dưới 1 năm kinh nghiệm chuyên môn, Đại Học trở lên","Program and remotely support operations for 3-axis, 4-axis milling machines, VMC, HMC, and double pallet lathes.
Review and interpret technical drawings and dimensions.
Select appropriate cutting tools and machining methods.
Create machining programs and process instructions.
Generate 2D and 3D models for tools, jigs, and fixtures.
Collaborate with the team to troubleshoot production issues.
Control and manage technical documents related to the process.
Train and support CNC operators when necessary.
Close collaboration with U.S. engineers and machinists.
Flexible hybrid work schedule based on project needs.
Weekly online meetings with the team; occasional on-site coordination required.
Hybrid working: 3 weeks work from home (7:00pm - 3:00am) + 1 to 2 days one week for team meeting (7:00am - 3:00pm)","Bachelor’s degree in Mechanical Engineering, Mechatronics, or related field.
Can use Mastercam 3D (Mastercam certification is a plus).
Experience in 2D and 3D technical drawing and design.
Strong understanding of engineering drawings and manufacturing standards.
Proficient in using Inventor or similar design software.
Experience in CNC product design is a plus.
Good command in English
Strong problem-solving and root cause analysis skills.
Able to work independently and manage technical documentation effectively.","Competitive salary based on experience and ability
Meal allowance: 30,000 VND/day
PVI health insurance (for both employee and family members)
12 days of annual leave + Christmas holiday
Full social insurance contributions based on 100% of salary
Year-end bonus
Full labor union benefits
No fingerprint check-in/check-out system","Training 1–2 tháng đầu tại văn phòng: T2–T6 | 8:00–16:30
Sau đó làm việc Hybrid cùng team US
Thời gian linh hoạt theo tiến độ công việc",it
CAD/CAM Engineer / Kỹ Sư Lập Trình - Làm Việc Tại VSIP 1,https://www.topcv.vn/viec-lam/cad-cam-engineer-ky-su-lap-trinh-lam-viec-tai-vsip-1/2176614.html?ta_source=JobSearchList_LinkDetail&u_sr_id=fgP7ThR6dP7YgvExMLgtJUSsW04DMh4tDP7NOu2T_1780325510,CÔNG TY TNHH THERM-X SYSTEM VIỆT NAM TECHNOLOGY,"Lô 39, đường số 6, KCN Việt Nam – Singapore, Phường An Phú, Thành phố Thuận An, Tỉnh Bình Dương, Việt Nam",2026-06-01 21:52:41,IT,26afafd7fc47e96b8cf47c4b8a24037f,25/06/2026,False,Thoả thuận,,,negotiable,,False,Bình Dương,Đại học,,"Mastercam 3D, Inventor, CNC product design",,English,,Không yêu cầu,Dưới 1 năm,Kỹ sư cơ khí,"Dưới 1 năm kinh nghiệm chuyên môn, Đại Học trở lên","Program and remotely support operations for 3-axis, 4-axis milling machines, VMC, HMC, and double pallet lathes.
Review and interpret technical drawings and dimensions.
Select appropriate cutting tools and machining methods.
Create machining programs and process instructions.
Generate 2D and 3D models for tools, jigs, and fixtures.
Collaborate with the team to troubleshoot production issues.
Control and manage technical documents related to the process.
Train and support CNC operators when necessary.
Close collaboration with U.S. engineers and machinists.
Flexible hybrid work schedule based on project needs.
Weekly online meetings with the team; occasional on-site coordination required.
Hybrid working: 3 weeks work from home (7:00pm - 3:00am) + 1 to 2 days one week for team meeting (7:00am - 3:00pm)","Bachelor’s degree in Mechanical Engineering, Mechatronics, or related field.
Can use Mastercam 3D (Mastercam certification is a plus).
Experience in 2D and 3D technical drawing and design.
Strong understanding of engineering drawings and manufacturing standards.
Proficient in using Inventor or similar design software.
Experience in CNC product design is a plus.
Good command in English
Strong problem-solving and root cause analysis skills.
Able to work independently and manage technical documentation effectively.","Competitive salary based on experience and ability
Meal allowance: 30,000 VND/day
PVI health insurance (for both employee and family members)
12 days of annual leave + Christmas holiday
Full social insurance contributions based on 100% of salary
Year-end bonus
Full labor union benefits
No fingerprint check-in/check-out system","Training 1–2 tháng đầu tại văn phòng: T2–T6 | 8:00–16:30
Sau đó làm việc Hybrid cùng team US
Thời gian linh hoạt theo tiến độ công việc",it
"Nhân Viên Kinh Doanh - Web/App - Lương Cứng Không Phụ Thuộc Doanh Số - Làm Việc Tại Quận Tân Bình, Hồ Chí Minh",https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-web-app-luong-cung-khong-phu-thuoc-doanh-so-lam-viec-tai-quan-tan-binh-ho-chi-minh/2178523.html?ta_source=JobSearchList_LinkDetail&u_sr_id=fgP7ThR6dP7YgvExMLgtJUSsW04DMh4tDP7NOu2T_1780325530,CÔNG TY TNHH GIẢI PHÁP CÔNG NGHỆ SỐ VN,"Tòa Nhà D-Head, 371 Nguyễn Kiệm, P.3, Gò Vấp, TP.HCM",2026-06-01 21:53:09,IT,29ea979e08eba42a04758af166647517,26/06/2026,False,"Thu nhập khi đạt 100% KPI:  10 - 30 triệu VND
Lương cứng: Từ 5 triệu VND trở lên",10000000.0,30000000.0,range,,False,Hồ Chí Minh,Cao đẳng,,"Kinh doanh phần mềm, Thương mại điện tử, Marketing / Quảng cáo, Quan hệ công chúng, B2B, B2C, Direct Sales, Telesales, Online Sales",,,,Không yêu cầu,Dưới 1 năm,"Kinh doanh phần mềm, Thương mại điện tử, Marketing / Quảng cáo, Quan hệ công chúng, B2B, B2C, Direct Sales, Telesales, Online Sales","Dưới 1 năm kinh nghiệm chuyên môn, Tuổi 18 - 30, Cao Đẳng trở lên, Phát âm chuẩn, Diễn đạt trôi chảy","Tiếp nhận, sàng lọc danh sách khách hàng tiềm năng từ các chiến dịch Marketing để phân loại khách hàng có nhu cầu sử dụng dịch vụ để lấy thông tin cần thiết tư vấn dịch vụ.
Phối hợp với các bộ phận vận hành để làm kế hoạch, báo giá dịch vụ cho khách hàng sau đó tiến hành thương lượng ký hợp đồng.
Gọi điện thoại/ gửi email giới thiệu công ty và sản phẩm/ dịch vụ đến các khách hàng tiềm năng.
Thuyết phục khách hàng sử dụng sản phẩm/dịch vụ, tạo dựng lòng tin của khách hàng với doanh nghiệp.
Công ty hỗ trợ data sẵn
Địa chỉ làm việc: Lầu 6, Tòa Nhà Kicotrans, Phường Tân Sơn Hòa, Tp. HCM (Phường 2, Quận Tân Bình cũ)","Không yêu cầu kinh nghiệm.
Tốt nghiệp Cao Đẳng trở lên.
Yêu thích công việc bán hàng, giao tiếp với khách hàng
Năng động, cầu tiến, ham học hỏi, khả năng tập trung cao.
Biết sử dụng MS Office, Email, Mạng xã hội Facebook, Zalo, Skype.
Giao tiếp tốt, ngoại hình ưa nhìn là một lợi thế.","Hỗ trợ Data khách hàng
Đào tạo học việc 01 tháng nếu chưa có kinh nghiệm.
Lương hỗ trợ học việc: 5.000.000 đ / tháng
Tổng thu nhập lên tới 30.000.000 đ/ tháng
Ký Hợp đồng sau thời gian thử việc.
Được đào tạo về kỹ năng về quy trình bán hàng
Tham gia Team Building, YEP Party hàng năm cùng công ty
Tham gia đầy đủ Bảo Hiểm Xã Hội và các phúc lợi khác do nhà nước quy định.
Làm việc trong môi trường năng động.
Xét thăng tiến sau 06 tháng làm việc.
Được đào tạo, nâng cao nghiệp vụ thường xuyên.","Thứ 2 - Thứ 6 (từ 08:00 đến 17:00)
Thứ 7 (từ 08:00 đến 12:00)
Chủ nhật nghỉ",it
"Nhân Viên Kinh Doanh - Web/App - Lương Cứng Không Phụ Thuộc Doanh Số - Làm Việc Tại Quận Tân Bình, Hồ Chí Minh",https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-web-app-luong-cung-khong-phu-thuoc-doanh-so-lam-viec-tai-quan-tan-binh-ho-chi-minh/2178523.html?ta_source=JobSearchList_LinkDetail&u_sr_id=fgP7ThR6dP7YgvExMLgtJUSsW04DMh4tDP7NOu2T_1780325510,CÔNG TY TNHH GIẢI PHÁP CÔNG NGHỆ SỐ VN,"Tòa Nhà D-Head, 371 Nguyễn Kiệm, P.3, Gò Vấp, TP.HCM",2026-06-01 21:53:10,IT,29ea979e08eba42a04758af166647517,26/06/2026,False,"Thu nhập khi đạt 100% KPI:  10 - 30 triệu VND
Lương cứng: Từ 5 triệu VND trở lên",10000000.0,30000000.0,range,,False,Hồ Chí Minh,Cao đẳng,,"Kinh doanh phần mềm, Thương mại điện tử, Marketing / Quảng cáo, Quan hệ công chúng, B2B, B2C, Direct Sales, Telesales, Online Sales",,,,Không yêu cầu,Dưới 1 năm,"Kinh doanh phần mềm, Thương mại điện tử, Marketing / Quảng cáo, Quan hệ công chúng, B2B, B2C, Direct Sales, Telesales, Online Sales","Dưới 1 năm kinh nghiệm chuyên môn, Tuổi 18 - 30, Cao Đẳng trở lên, Phát âm chuẩn, Diễn đạt trôi chảy","Tiếp nhận, sàng lọc danh sách khách hàng tiềm năng từ các chiến dịch Marketing để phân loại khách hàng có nhu cầu sử dụng dịch vụ để lấy thông tin cần thiết tư vấn dịch vụ.
Phối hợp với các bộ phận vận hành để làm kế hoạch, báo giá dịch vụ cho khách hàng sau đó tiến hành thương lượng ký hợp đồng.
Gọi điện thoại/ gửi email giới thiệu công ty và sản phẩm/ dịch vụ đến các khách hàng tiềm năng.
Thuyết phục khách hàng sử dụng sản phẩm/dịch vụ, tạo dựng lòng tin của khách hàng với doanh nghiệp.
Công ty hỗ trợ data sẵn
Địa chỉ làm việc: Lầu 6, Tòa Nhà Kicotrans, Phường Tân Sơn Hòa, Tp. HCM (Phường 2, Quận Tân Bình cũ)","Không yêu cầu kinh nghiệm.
Tốt nghiệp Cao Đẳng trở lên.
Yêu thích công việc bán hàng, giao tiếp với khách hàng
Năng động, cầu tiến, ham học hỏi, khả năng tập trung cao.
Biết sử dụng MS Office, Email, Mạng xã hội Facebook, Zalo, Skype.
Giao tiếp tốt, ngoại hình ưa nhìn là một lợi thế.","Hỗ trợ Data khách hàng
Đào tạo học việc 01 tháng nếu chưa có kinh nghiệm.
Lương hỗ trợ học việc: 5.000.000 đ / tháng
Tổng thu nhập lên tới 30.000.000 đ/ tháng
Ký Hợp đồng sau thời gian thử việc.
Được đào tạo về kỹ năng về quy trình bán hàng
Tham gia Team Building, YEP Party hàng năm cùng công ty
Tham gia đầy đủ Bảo Hiểm Xã Hội và các phúc lợi khác do nhà nước quy định.
Làm việc trong môi trường năng động.
Xét thăng tiến sau 06 tháng làm việc.
Được đào tạo, nâng cao nghiệp vụ thường xuyên.","Thứ 2 - Thứ 6 (từ 08:00 đến 17:00)
Thứ 7 (từ 08:00 đến 12:00)
Chủ nhật nghỉ",it
Thực Tập Sinh Vận Hành Robot Và Kiểm Soát Chất Lượng Data,https://www.topcv.vn/viec-lam/thuc-tap-sinh-van-hanh-robot-va-kiem-soat-chat-luong-data/2169121.html?ta_source=JobSearchList_LinkDetail&u_sr_id=fgP7ThR6dP7YgvExMLgtJUSsW04DMh4tDP7NOu2T_1780325510,CÔNG TY TNHH APPEN DATA TECHNOLOGY VIỆT NAM,"Tòa nhà Việt Á, Số 9 Duy Tân, Quận Cầu Giấy, Hà",2026-06-01 22:00:45,IT,6572f5aed5d6331a76898e2c9341a476,18/06/2026,False,Mức lương: Từ 5 triệu,5000000.0,5000000.0,upto,,False,Hà Nội,Trung cấp,,"Microsoft Office, các công cụ văn phòng cơ bản, thao tác trên giao diện người dùng bằng tiếng Anh",,,,Không yêu cầu,Không yêu cầu,Data Labeling (Gán nhãn dữ liệu),"Không cần kinh nghiệm chuyên môn, Trung cấp trở lên","Thực hiện các nhiệm vụ thu thập dữ liệu dựa trên các kịch bản ứng dụng và yêu cầu chức năng của robot.
Vận hành các thiết bị thu thập dữ liệu theo hướng dẫn, tuân thủ quy trình tiêu chuẩn nhằm đảm bảo chất lượng dữ liệu cao, và hoàn tất việc đăng tải và xác minh dữ liệu đúng hạn.
Bảo trì và quản lý thiết bị thu thập dữ liệu để đảm bảo hoạt động ổn định; phối hợp với đội ngũ kỹ sư để báo cáo các bất thường trong hiệu suất robot hoặc các vấn đề về chất lượng dữ liệu.
Kiểm tra và rà soát dữ liệu nhằm đảm bảo dữ liệu thu thập được là đạt chất lượng, phục vụ cho quá trình phân tích tiếp theo.","Không yêu cầu kinh nghiệm, có thể thực tập fulltime.
Sinh viên từ tất cả các chuyên ngành đều được chào đón. Ưu tiên các ngành: điện tử, khoa học máy tính, kỹ thuật cơ khí, hoặc tự động hóa.
Thành thạo Microsoft Office và các công cụ văn phòng cơ bản; có khả năng thao tác trên giao diện người dùng bằng tiếng Anh.
Tinh thần trách nhiệm cao, đạo đức nghề nghiệp tốt, khả năng học hỏi nhanh, chịu được áp lực công việc và có kỹ năng thực thi; có thể diễn đạt rõ ràng các vấn đề, vướng mắc và đề xuất trong quá trình làm việc.","Mức trợ cấp cạnh tranh.
Cơ hội nâng cao kỹ năng tiếng Anh trong quá trình làm việc.
Tham gia dự án AI và robotics tiên tiến, đi đầu trong công nghệ.
Môi trường trẻ trung, năng động, nhiệt tình, trang phục thoải mái.","Thứ 2 - Thứ 6 (từ 08:00 đến 17:00)
Thứ 2 - Thứ 6 (từ 13:00 đến 21:30)",it
Thực Tập Sinh Vận Hành Robot Và Kiểm Soát Chất Lượng Data,https://www.topcv.vn/viec-lam/thuc-tap-sinh-van-hanh-robot-va-kiem-soat-chat-luong-data/2169121.html?ta_source=JobSearchList_LinkDetail&u_sr_id=fgP7ThR6dP7YgvExMLgtJUSsW04DMh4tDP7NOu2T_1780325530,CÔNG TY TNHH APPEN DATA TECHNOLOGY VIỆT NAM,"Tòa nhà Việt Á, Số 9 Duy Tân, Quận Cầu Giấy, Hà",2026-06-01 22:00:45,IT,6572f5aed5d6331a76898e2c9341a476,18/06/2026,False,Mức lương: Từ 5 triệu,5000000.0,,fixed,,False,Hà Nội,Trung cấp,,"Microsoft Office, Các công cụ văn phòng cơ bản, Thao tác trên giao diện người dùng bằng tiếng Anh",,Tiếng Anh,,Không yêu cầu,Không yêu cầu,Data Labeling (Gán nhãn dữ liệu),"Không cần kinh nghiệm chuyên môn, Trung cấp trở lên","Thực hiện các nhiệm vụ thu thập dữ liệu dựa trên các kịch bản ứng dụng và yêu cầu chức năng của robot.
Vận hành các thiết bị thu thập dữ liệu theo hướng dẫn, tuân thủ quy trình tiêu chuẩn nhằm đảm bảo chất lượng dữ liệu cao, và hoàn tất việc đăng tải và xác minh dữ liệu đúng hạn.
Bảo trì và quản lý thiết bị thu thập dữ liệu để đảm bảo hoạt động ổn định; phối hợp với đội ngũ kỹ sư để báo cáo các bất thường trong hiệu suất robot hoặc các vấn đề về chất lượng dữ liệu.
Kiểm tra và rà soát dữ liệu nhằm đảm bảo dữ liệu thu thập được là đạt chất lượng, phục vụ cho quá trình phân tích tiếp theo.","Không yêu cầu kinh nghiệm, có thể thực tập fulltime.
Sinh viên từ tất cả các chuyên ngành đều được chào đón. Ưu tiên các ngành: điện tử, khoa học máy tính, kỹ thuật cơ khí, hoặc tự động hóa.
Thành thạo Microsoft Office và các công cụ văn phòng cơ bản; có khả năng thao tác trên giao diện người dùng bằng tiếng Anh.
Tinh thần trách nhiệm cao, đạo đức nghề nghiệp tốt, khả năng học hỏi nhanh, chịu được áp lực công việc và có kỹ năng thực thi; có thể diễn đạt rõ ràng các vấn đề, vướng mắc và đề xuất trong quá trình làm việc.","Mức trợ cấp cạnh tranh.
Cơ hội nâng cao kỹ năng tiếng Anh trong quá trình làm việc.
Tham gia dự án AI và robotics tiên tiến, đi đầu trong công nghệ.
Môi trường trẻ trung, năng động, nhiệt tình, trang phục thoải mái.","Thứ 2 - Thứ 6 (từ 08:00 đến 17:00)
Thứ 2 - Thứ 6 (từ 13:00 đến 21:30)",it
"Nhân Viên Kinh Doanh Phần Mềm | Nghỉ T7-CN (Làm Việc Tại Hà Đông, Hà Nội)",https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-phan-mem-nghi-t7-cn-lam-viec-tai-ha-dong-ha-noi/2167816.html?ta_source=JobSearchList_LinkDetail&u_sr_id=fgP7ThR6dP7YgvExMLgtJUSsW04DMh4tDP7NOu2T_1780325510,CÔNG TY TNHH ĐẦU TƯ NGHIÊN CỨU VÀ PHÁT TRIỂN PHẦN MỀM VIỆT NAM,"Tầng 4, tòa nhà HUD3 Tower, số 121-123 đường Tô Hiệu, Phường Quang Trung, Quận Hà Đông, Thành phố Hà Nội, Việt Nam",2026-06-01 22:05:59,IT,d373b2d7b8e4767ca79699711cf62947,19/06/2026,False,Thu nhập khi đạt 100% KPI:  10 - 25 triệu VND,10000000.0,25000000.0,range,,True,Hà Nội,Cao đẳng,,"Kinh doanh phần mềm, IT - Phần mềm, B2B, B2C, Telesales, Online Sales",,,,Không yêu cầu,Dưới 1 năm,"Kinh doanh phần mềm, IT - Phần mềm, B2B, B2C, Telesales, Online Sales","Dưới 1 năm kinh nghiệm chuyên môn, Tuổi 23 - 27, Cao Đẳng trở lên, Diễn đạt trôi chảy","Tiếp nhận data từ hệ thống, liên hệ tư vấn giới thiệu sản phẩm phần mềm và giải pháp công nghệ thông tin đến khách hàng.
Tận dụng sản phẩm phần mềm của công ty để tìm kiếm khách hàng tiềm năng.
Lập kế hoạch và thực hiện các hoạt động bán hàng, đàm phán kí kết hợp đồng.
Xây dựng và duy trì mối quan hệ tốt đẹp với khách hàng hiện tại và tiềm năng.","Tốt nghiệp Cao đẳng/Đại học.
Khả năng giao tiếp tốt, tự tin, nhiệt tình và có kỹ năng thuyết phục.
Nắm vững kỹ năng sử dụng máy tính và các phần mềm văn phòng.
Ưu tiên ứng viên có kinh nghiệm làm sales, nhân viên kinh doanh, telesales.
Khả năng sử dụng các công cụ tìm kiếm khách hàng, mạng xã hội hiệu quả.","Lương cứng 7-9 triệu + % Doanh số + Thưởng Hiệu quả CV
Thu nhập từ 10 - 25 triệu ++
Đóng BHXH sau thử việc
Cơ hội thăng tiến cao trong môi trường năng động, chuyên nghiệp.
Môi trường làm việc thân thiện, chuyên nghiệp, cơ hội học hỏi và phát triển.","Thứ 2 - Thứ 6 (từ 08:00 đến 17:30)
Sáng 8:00 - 12:00 và Chiều 13:30 - 17:30",it
Nhân Viên Tư Vấn/ Sale Online/ Chăm Sóc Khách Hàng (Game) - Thu Nhập Hấp Dẫn,https://www.topcv.vn/viec-lam/nhan-vien-tu-van-sale-online-cham-soc-khach-hang-game-thu-nhap-hap-dan/1662973.html?ta_source=JobSearchList_LinkDetail&u_sr_id=fgP7ThR6dP7YgvExMLgtJUSsW04DMh4tDP7NOu2T_1780325510,Công Ty TNHH CNLGAMING,"195-197 Nguyễn Thị Nhung, Hiệp Bình Phước, Thủ Đức",2026-06-01 22:12:35,IT,79ed148c9de7a144ebbf8b35f95a7336,19/06/2026,False,Thu nhập: Từ 12 triệu,12000000.0,12000000.0,upto,,True,Hồ Chí Minh,Trung cấp,,Sales IT Phần mềm khác,,,,Không yêu cầu,Không yêu cầu,"Sales IT Phần mềm khác, B2C","Không cần kinh nghiệm chuyên môn, Trung cấp trở lên","- Chat tư vấn, hướng dẫn người chơi trao đổi vật phẩm các tựa game PC quốc tế
- Thực hiện trao đổi vật phẩm với người chơi các tựa game quốc tế
- Ghi nhận, lưu hồ sơ các trao đổi vật phẩm thành công
- Cập nhật, báo cáo tiến độ các trao đổi đã diễn ra trong ca làm việc","- Giao tiếp tiếng Anh cơ bản
- Khả năng giao tiếp tốt
- Ưu tiên ứng viên dưới 27 tuổi
- Thời gian làm việc lịch sẽ được công ty sắp xếp:
Làm việc theo ca, tại công ty (không làm việc online)
- Khung giờ chiều: 15h > 23h
- Khung giờ đêm: 23h >7h
LƯU Ý: Địa chỉ làm việc: Nguyễn Thị Nhung, Khu Đô Thị Vạn Phúc, Hiệp Bình Phước, TP. Thủ Đức","- Lương chính thức: 7 triệu.
- Lương part- time giờ tỉ lệ.
+ Làm việc trong khung giờ: 18h > 22h: lương nhân thêm 10%
+ Làm việc trong khung giờ: 22h > 8h: lương nhân thêm 30%
- Lương thử việc: 85% lương chính thức
+ x3 lương từ 7 đến 12 ngày lễ, tết trong năm.
+ Phép năm tích lũy
+ 6 tháng cộng thêm 1 bậc lương,
+ Thưởng Cuối năm + thưởng theo năng lực và thái độ sau 6 tháng làm việc
+ Thưởng nhân viên xuất sắc mỗi tháng, thưởng lễ, thưởng chuyên cần, thưởng profit
- Môi trường làm việc thoải mái, thân thiện...
- Được đào tạo kỹ năng giao tiếp, trao đổi, kỹ năng phát triển bản thân, tiếng Anh giao tiếp cơ bản
- Teambuilding",,it
CAD/CAM Engineer / Kỹ Sư Lập Trình - Làm Việc Tại VSIP 1,https://www.topcv.vn/viec-lam/cad-cam-engineer-ky-su-lap-trinh-lam-viec-tai-vsip-1/2176614.html?ta_source=JobSearchList_LinkDetail&u_sr_id=fgP7ThR6dP7YgvExMLgtJUSsW04DMh4tDP7NOu2T_1780325518,CÔNG TY TNHH THERM-X SYSTEM VIỆT NAM TECHNOLOGY,"Lô 39, đường số 6, KCN Việt Nam – Singapore, Phường An Phú, Thành phố Thuận An, Tỉnh Bình Dương, Việt Nam",2026-06-01 22:14:18,IT,26afafd7fc47e96b8cf47c4b8a24037f,25/06/2026,False,Thoả thuận,,,negotiable,,False,Bình Dương,Đại học,,"Mastercam, Inventor",,,,Không yêu cầu,Dưới 1 năm,Kỹ sư cơ khí,"Dưới 1 năm kinh nghiệm chuyên môn, Đại Học trở lên","Program and remotely support operations for 3-axis, 4-axis milling machines, VMC, HMC, and double pallet lathes.
Review and interpret technical drawings and dimensions.
Select appropriate cutting tools and machining methods.
Create machining programs and process instructions.
Generate 2D and 3D models for tools, jigs, and fixtures.
Collaborate with the team to troubleshoot production issues.
Control and manage technical documents related to the process.
Train and support CNC operators when necessary.
Close collaboration with U.S. engineers and machinists.
Flexible hybrid work schedule based on project needs.
Weekly online meetings with the team; occasional on-site coordination required.
Hybrid working: 3 weeks work from home (7:00pm - 3:00am) + 1 to 2 days one week for team meeting (7:00am - 3:00pm)","Bachelor’s degree in Mechanical Engineering, Mechatronics, or related field.
Can use Mastercam 3D (Mastercam certification is a plus).
Experience in 2D and 3D technical drawing and design.
Strong understanding of engineering drawings and manufacturing standards.
Proficient in using Inventor or similar design software.
Experience in CNC product design is a plus.
Good command in English
Strong problem-solving and root cause analysis skills.
Able to work independently and manage technical documentation effectively.","Competitive salary based on experience and ability
Meal allowance: 30,000 VND/day
PVI health insurance (for both employee and family members)
12 days of annual leave + Christmas holiday
Full social insurance contributions based on 100% of salary
Year-end bonus
Full labor union benefits
No fingerprint check-in/check-out system","Training 1–2 tháng đầu tại văn phòng: T2–T6 | 8:00–16:30
Sau đó làm việc Hybrid cùng team US
Thời gian linh hoạt theo tiến độ công việc",it
"Nhân Viên Kinh Doanh - Web/App - Lương Cứng Không Phụ Thuộc Doanh Số - Làm Việc Tại Quận Tân Bình, Hồ Chí Minh",https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-web-app-luong-cung-khong-phu-thuoc-doanh-so-lam-viec-tai-quan-tan-binh-ho-chi-minh/2178523.html?ta_source=JobSearchList_LinkDetail&u_sr_id=fgP7ThR6dP7YgvExMLgtJUSsW04DMh4tDP7NOu2T_1780325518,CÔNG TY TNHH GIẢI PHÁP CÔNG NGHỆ SỐ VN,"Tòa Nhà D-Head, 371 Nguyễn Kiệm, P.3, Gò Vấp, TP.HCM",2026-06-01 22:14:29,IT,29ea979e08eba42a04758af166647517,26/06/2026,False,Thu nhập khi đạt 100% KPI:  10 - 30 triệu VND,10000000.0,30000000.0,range,,False,Hồ Chí Minh,Cao đẳng,,"Kinh doanh phần mềm, Thương mại điện tử, Marketing / Quảng cáo, Quan hệ công chúng, B2B, B2C, Direct Sales, Telesales, Online Sales",,,,Không yêu cầu,Dưới 1 năm,"Kinh doanh phần mềm, Thương mại điện tử, Marketing / Quảng cáo, Quan hệ công chúng, B2B, B2C, Direct Sales, Telesales, Online Sales","Dưới 1 năm kinh nghiệm chuyên môn, Tuổi 18 - 30, Cao Đẳng trở lên, Phát âm chuẩn, Diễn đạt trôi chảy","Tiếp nhận, sàng lọc danh sách khách hàng tiềm năng từ các chiến dịch Marketing để phân loại khách hàng có nhu cầu sử dụng dịch vụ để lấy thông tin cần thiết tư vấn dịch vụ.
Phối hợp với các bộ phận vận hành để làm kế hoạch, báo giá dịch vụ cho khách hàng sau đó tiến hành thương lượng ký hợp đồng.
Gọi điện thoại/ gửi email giới thiệu công ty và sản phẩm/ dịch vụ đến các khách hàng tiềm năng.
Thuyết phục khách hàng sử dụng sản phẩm/dịch vụ, tạo dựng lòng tin của khách hàng với doanh nghiệp.
Công ty hỗ trợ data sẵn
Địa chỉ làm việc: Lầu 6, Tòa Nhà Kicotrans, Phường Tân Sơn Hòa, Tp. HCM (Phường 2, Quận Tân Bình cũ)","Không yêu cầu kinh nghiệm.
Tốt nghiệp Cao Đẳng trở lên.
Yêu thích công việc bán hàng, giao tiếp với khách hàng
Năng động, cầu tiến, ham học hỏi, khả năng tập trung cao.
Biết sử dụng MS Office, Email, Mạng xã hội Facebook, Zalo, Skype.
Giao tiếp tốt, ngoại hình ưa nhìn là một lợi thế.","Hỗ trợ Data khách hàng
Đào tạo học việc 01 tháng nếu chưa có kinh nghiệm.
Lương hỗ trợ học việc: 5.000.000 đ / tháng
Tổng thu nhập lên tới 30.000.000 đ/ tháng
Ký Hợp đồng sau thời gian thử việc.
Được đào tạo về kỹ năng về quy trình bán hàng
Tham gia Team Building, YEP Party hàng năm cùng công ty
Tham gia đầy đủ Bảo Hiểm Xã Hội và các phúc lợi khác do nhà nước quy định.
Làm việc trong môi trường năng động.
Xét thăng tiến sau 06 tháng làm việc.
Được đào tạo, nâng cao nghiệp vụ thường xuyên.","Thứ 2 - Thứ 6 (từ 08:00 đến 17:00)
Thứ 7 (từ 08:00 đến 12:00)
Chủ nhật nghỉ",it
